"Del","pob","clave_edo","edo","id"
"Azcapotzalco",414711,9,"Distrito Federal",2
"Coyoacán",620416,9,"Distrito Federal",3
"Cuajimalpa de Morelos",186391,9,"Distrito Federal",4
"Gustavo A. Madero",1185772,9,"Distrito Federal",5
"Iztacalco",384326,9,"Distrito Federal",6
"Iztapalapa",1815786,9,"Distrito Federal",7
"La Magdalena Contreras",239086,9,"Distrito Federal",8
"Milpa Alta",130582,9,"Distrito Federal",9
"Álvaro Obregón",727034,9,"Distrito Federal",10
"Tláhuac",360265,9,"Distrito Federal",11
"Tlalpan",650567,9,"Distrito Federal",12
"Xochimilco",415007,9,"Distrito Federal",13
"Benito Juárez",385439,9,"Distrito Federal",14
"Cuauhtémoc",531831,9,"Distrito Federal",15
"Miguel Hidalgo",372889,9,"Distrito Federal",16
"Venustiano Carranza",430978,9,"Distrito Federal",17
